2.6073 	WARNING 	Movie2 stim could not be imported and won't be available
121.2112 	EXP 	RatingScale bdm_bid: reset()
121.2156 	EXP 	fixation_text: autoDraw = False
121.2156 	EXP 	bdm_pic: autoDraw = False
121.2156 	EXP 	bdm_bid: autoDraw = False
121.2156 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
121.2156 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/46-pistachios.png'
121.2156 	EXP 	fixation_text: autoDraw = True
122.2130 	EXP 	fixation_text: autoDraw = False
122.2296 	EXP 	bdm_pic: autoDraw = True
123.9971 	DATA 	Keypress: left
124.2636 	DATA 	Keypress: left
124.4803 	DATA 	Keypress: left
124.6637 	DATA 	Keypress: left
124.8802 	DATA 	Keypress: left
127.0969 	DATA 	Keypress: right
127.3802 	DATA 	Keypress: right
129.9469 	DATA 	Keypress: down
129.9469 	DATA 	RatingScale bdm_bid: (key response) rating=1.1
129.9470 	DATA 	RatingScale bdm_bid: rating RT=7.734
129.9470 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (1.0999999999999996, 7.734)]
129.9474 	EXP 	New trial (rep=0, index=4): {u'bdm_img': u'33-ambrosia_rice.png'}
129.9585 	EXP 	RatingScale bdm_bid: reset()
129.9634 	EXP 	fixation_text: autoDraw = False
129.9634 	EXP 	bdm_pic: autoDraw = False
129.9634 	EXP 	bdm_bid: autoDraw = False
129.9634 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
129.9634 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/33-ambrosia_rice.png'
129.9634 	EXP 	fixation_text: autoDraw = True
130.9628 	EXP 	fixation_text: autoDraw = False
130.9795 	EXP 	bdm_pic: autoDraw = True
134.0468 	DATA 	Keypress: left
134.2801 	DATA 	Keypress: left
134.4802 	DATA 	Keypress: left
134.6467 	DATA 	Keypress: left
134.8301 	DATA 	Keypress: left
135.0301 	DATA 	Keypress: left
135.2300 	DATA 	Keypress: left
135.4134 	DATA 	Keypress: left
135.5967 	DATA 	Keypress: left
135.7968 	DATA 	Keypress: left
135.9968 	DATA 	Keypress: left
136.1967 	DATA 	Keypress: left
136.3967 	DATA 	Keypress: left
137.2301 	DATA 	Keypress: right
138.7467 	DATA 	Keypress: down
138.7468 	DATA 	RatingScale bdm_bid: (key response) rating=0.52
138.7468 	DATA 	RatingScale bdm_bid: rating RT=7.784
138.7468 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.5199999999999987, 7.784)]
138.7472 	EXP 	New trial (rep=0, index=5): {u'bdm_img': u'26-walkers_smoky_bacon.png'}
138.7614 	EXP 	RatingScale bdm_bid: reset()
138.7659 	EXP 	fixation_text: autoDraw = False
138.7659 	EXP 	bdm_pic: autoDraw = False
138.7659 	EXP 	bdm_bid: autoDraw = False
138.7659 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
138.7659 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/26-walkers_smoky_bacon.png'
138.7659 	EXP 	fixation_text: autoDraw = True
139.7627 	EXP 	fixation_text: autoDraw = False
139.7793 	EXP 	bdm_pic: autoDraw = True
144.0300 	DATA 	Keypress: left
144.3133 	DATA 	Keypress: left
144.5299 	DATA 	Keypress: left
144.7632 	DATA 	Keypress: left
144.9466 	DATA 	Keypress: left
145.1466 	DATA 	Keypress: left
145.3799 	DATA 	Keypress: left
145.9799 	DATA 	Keypress: left
147.2466 	DATA 	Keypress: down
147.2467 	DATA 	RatingScale bdm_bid: (key response) rating=0.52
147.2467 	DATA 	RatingScale bdm_bid: rating RT=7.484
147.2467 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.5199999999999991, 7.484)]
147.2471 	EXP 	New trial (rep=0, index=6): {u'bdm_img': u'44-crunch.png'}
147.2589 	EXP 	RatingScale bdm_bid: reset()
147.2640 	EXP 	fixation_text: autoDraw = False
147.2640 	EXP 	bdm_pic: autoDraw = False
147.2640 	EXP 	bdm_bid: autoDraw = False
147.2640 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
147.2640 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/44-crunch.png'
147.2640 	EXP 	fixation_text: autoDraw = True
148.2625 	EXP 	fixation_text: autoDraw = False
148.2792 	EXP 	bdm_pic: autoDraw = True
151.1467 	DATA 	Keypress: left
151.3631 	DATA 	Keypress: left
151.5631 	DATA 	Keypress: left
151.7298 	DATA 	Keypress: left
151.9298 	DATA 	Keypress: left
152.1131 	DATA 	Keypress: left
152.2965 	DATA 	Keypress: left
152.4965 	DATA 	Keypress: left
154.1631 	DATA 	Keypress: left
156.4299 	DATA 	Keypress: down
156.4300 	DATA 	RatingScale bdm_bid: (key response) rating=0.24
156.4300 	DATA 	RatingScale bdm_bid: rating RT=8.167
156.4301 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.23999999999999913, 8.167)]
156.4305 	EXP 	New trial (rep=0, index=7): {u'bdm_img': u'45-chewy_nougat_redo.png'}
156.4418 	EXP 	RatingScale bdm_bid: reset()
156.4469 	EXP 	fixation_text: autoDraw = False
156.4469 	EXP 	bdm_pic: autoDraw = False
156.4469 	EXP 	bdm_bid: autoDraw = False
156.4469 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
156.4469 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/45-chewy_nougat_redo.png'
156.4469 	EXP 	fixation_text: autoDraw = True
157.4457 	EXP 	fixation_text: autoDraw = False
157.4624 	EXP 	bdm_pic: autoDraw = True
159.7463 	DATA 	Keypress: left
159.9631 	DATA 	Keypress: left
160.1463 	DATA 	Keypress: left
160.3463 	DATA 	Keypress: left
160.5130 	DATA 	Keypress: left
160.6964 	DATA 	Keypress: left
160.8796 	DATA 	Keypress: left
161.0796 	DATA 	Keypress: left
161.2796 	DATA 	Keypress: left
161.4631 	DATA 	Keypress: left
161.6630 	DATA 	Keypress: left
161.8463 	DATA 	Keypress: left
163.5296 	DATA 	Keypress: down
163.5297 	DATA 	RatingScale bdm_bid: (key response) rating=0.24
163.5297 	DATA 	RatingScale bdm_bid: rating RT=6.084
163.5297 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.2399999999999989, 6.084)]
163.5301 	EXP 	New trial (rep=0, index=8): {u'bdm_img': u'35-raisins.png'}
163.5422 	EXP 	RatingScale bdm_bid: reset()
163.5473 	EXP 	fixation_text: autoDraw = False
163.5473 	EXP 	bdm_pic: autoDraw = False
163.5473 	EXP 	bdm_bid: autoDraw = False
163.5473 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
163.5473 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/35-raisins.png'
163.5473 	EXP 	fixation_text: autoDraw = True
164.5456 	EXP 	fixation_text: autoDraw = False
164.5622 	EXP 	bdm_pic: autoDraw = True
165.9464 	DATA 	Keypress: left
166.1462 	DATA 	Keypress: left
166.3129 	DATA 	Keypress: left
166.4963 	DATA 	Keypress: left
166.6629 	DATA 	Keypress: left
166.8462 	DATA 	Keypress: left
167.0296 	DATA 	Keypress: left
167.2129 	DATA 	Keypress: left
167.4129 	DATA 	Keypress: left
168.8462 	DATA 	Keypress: down
168.8463 	DATA 	RatingScale bdm_bid: (key response) rating=0.16
168.8463 	DATA 	RatingScale bdm_bid: rating RT=4.301
168.8463 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.1599999999999994, 4.301)]
168.8467 	EXP 	New trial (rep=0, index=9): {u'bdm_img': u'18-mms.png'}
168.8607 	EXP 	RatingScale bdm_bid: reset()
168.8650 	EXP 	fixation_text: autoDraw = False
168.8650 	EXP 	bdm_pic: autoDraw = False
168.8650 	EXP 	bdm_bid: autoDraw = False
168.8650 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
168.8650 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/18-mms.png'
168.8650 	EXP 	fixation_text: autoDraw = True
169.8622 	EXP 	fixation_text: autoDraw = False
169.8788 	EXP 	bdm_pic: autoDraw = True
173.1129 	DATA 	Keypress: left
173.3295 	DATA 	Keypress: left
173.5294 	DATA 	Keypress: left
173.6962 	DATA 	Keypress: left
173.8961 	DATA 	Keypress: left
174.0628 	DATA 	Keypress: left
174.8627 	DATA 	Keypress: right
176.0461 	DATA 	Keypress: down
176.0462 	DATA 	RatingScale bdm_bid: (key response) rating=0.56
176.0462 	DATA 	RatingScale bdm_bid: rating RT=6.184
176.0462 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.5599999999999996, 6.184)]
176.0466 	EXP 	New trial (rep=0, index=10): {u'bdm_img': u'13-mccoys_steak_crisps.png'}
176.0599 	EXP 	RatingScale bdm_bid: reset()
176.0643 	EXP 	fixation_text: autoDraw = False
176.0643 	EXP 	bdm_pic: autoDraw = False
176.0643 	EXP 	bdm_bid: autoDraw = False
176.0643 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
176.0643 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/13-mccoys_steak_crisps.png'
176.0643 	EXP 	fixation_text: autoDraw = True
177.0620 	EXP 	fixation_text: autoDraw = False
177.0787 	EXP 	bdm_pic: autoDraw = True
180.0462 	DATA 	Keypress: left
180.3626 	DATA 	Keypress: left
180.5627 	DATA 	Keypress: left
180.7460 	DATA 	Keypress: left
180.9460 	DATA 	Keypress: left
181.7127 	DATA 	Keypress: down
181.7127 	DATA 	RatingScale bdm_bid: (key response) rating=0.68
181.7127 	DATA 	RatingScale bdm_bid: rating RT=4.651
181.7128 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.6799999999999995, 4.651)]
181.7132 	EXP 	New trial (rep=0, index=11): {u'bdm_img': u'48-twix.png'}
181.7233 	EXP 	RatingScale bdm_bid: reset()
181.7286 	EXP 	fixation_text: autoDraw = False
181.7286 	EXP 	bdm_pic: autoDraw = False
181.7286 	EXP 	bdm_bid: autoDraw = False
181.7286 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
181.7286 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/48-twix.png'
181.7286 	EXP 	fixation_text: autoDraw = True
182.7286 	EXP 	fixation_text: autoDraw = False
182.7453 	EXP 	bdm_pic: autoDraw = True
